NEWCODE,HTS_MASTER_CODE,COUNTRY,NEWRATE,NEWRATE_CLEAN,RATE_MODIFIER,ADDITIONAL_DUTY_PCT,ADDITIONAL_VALUE,ADDITIONAL_UNIT,TRADEPROGRAM,MATCH_PRIORITY
9902.03.81,2921.51.10,Global,0.04,0.04,,,,,MTB,20
9902.03.82,2921.51.50,Global,0.046,0.046,,,,,MTB,20
9902.03.83,2921.59.08,Global,0,0.0,,,,,MTB,20
9902.03.84,2921.59.20,Global,0.015,0.015,,,,,MTB,20
9902.03.85,2921.59.40,Global,0,0.0,,,,,MTB,20
9902.03.86,2921.59.40,Global,0,0.0,,,,,MTB,20
9902.03.87,2921.59.80,Global,0.016,0.016,,,,,MTB,20
9902.03.88,2921.59.80,Global,0,0.0,,,,,MTB,20
9902.03.89,2922.19.60,Global,0,0.0,,,,,MTB,20
9902.03.90,2922.19.70,Global,0,0.0,,,,,MTB,20
9902.03.91,2922.19.96,Global,0,0.0,,,,,MTB,20
9902.03.92,2922.19.96,Global,0,0.0,,,,,MTB,20
9902.03.93,2922.19.96,Global,0,0.0,,,,,MTB,20
9902.03.94,2922.29.10,Global,0.037,0.037,,,,,MTB,20
9902.03.95,2922.29.61,Global,0,0.0,,,,,MTB,20
9902.03.96,2922.29.61,Global,0,0.0,,,,,MTB,20
9902.03.97,2922.29.61,Global,0,0.0,,,,,MTB,20
9902.03.98,2922.29.81,Global,0,0.0,,,,,MTB,20
9902.03.99,2922.29.81.90,Global,0,0.0,,,,,MTB,20
9902.04.01,2922.29.81,Global,0.013,0.013,,,,,MTB,20
9902.04.02,2922.29.81,Global,0,0.0,,,,,MTB,20
9902.04.03,2922.41.00,Global,0,0.0,,,,,MTB,20
9902.04.04,2922.49.30,Global,0.005,0.005,,,,,MTB,20
9902.04.05,2922.49.30,Global,0,0.0,,,,,MTB,20
9902.04.06,2922.49.30,Global,0,0.0,,,,,MTB,20
9902.04.07,2922.49.30,Global,0,0.0,,,,,MTB,20
9902.04.08,2922.49.40,Global,0.025,0.025,,,,,MTB,20
9902.04.09,2922.49.80,Global,0,0.0,,,,,MTB,20
9902.04.10,2922.49.80,Global,0,0.0,,,,,MTB,20
9902.04.11,2922.49.80,Global,0,0.0,,,,,MTB,20
9902.04.12,2922.49.80,Global,0,0.0,,,,,MTB,20
