country_name,country_id,year,iso3,region,v2excrptps,v2exthftps,v2cltrnslw,v2clrspct,v2stcritrecadm,risk_v2excrptps,risk_v2exthftps,risk_v2cltrnslw,risk_v2clrspct,risk_v2stcritrecadm,risk_score,risk_level
Poland,17,2025,POL,1.0,1.561,2.355,0.768,1.326,0.669,25.711176744909064,12.952086553323031,39.66220151426907,35.32219570405728,39.99999999999999,31.36748661289099,Moderate
Italy,82,2025,ITA,5.0,1.639,1.121,1.77,1.282,1.036,24.498678688014923,32.02472952086553,25.072801397786836,35.905595332802974,32.92189006750241,29.708436459752004,Moderate
Jamaica,120,2025,JAM,10.0,1.048,1.017,1.738,2.21,1.137,33.68568319602051,33.63214837712519,25.538730343622596,23.601166799257495,30.973963355834133,29.489015155316753,Moderate
Costa Rica,73,2025,CRI,2.0,0.808,1.012,2.309,2.646,1.325,37.41644644800249,33.70942812982998,17.224810716365752,17.82020684168656,27.348119575699126,26.889153258225413,Moderate
Uruguay,102,2025,URY,2.0,1.497,1.342,1.967,1.59,1.824,26.706046945437585,28.60896445131375,22.204426324985437,31.82179793158314,17.724204435872704,25.317942142544716,Moderate
Spain,96,2025,ESP,5.0,1.744,1.705,1.973,1.966,1.501,22.86646976527281,22.9984544049459,22.117064647641232,26.836382922301777,23.95371263259402,23.747817642567494,Low
United States of America,20,2025,USA,5.0,2.026,2.628,1.274,1.223,1.717,18.482822944194,8.73261205564142,32.29470005824112,36.68788119862106,19.787849566055925,23.684683708978334,Low
Taiwan,48,2025,TWN,6.0,0.849,1.363,2.463,3.245,1.536,36.7791077257889,28.284389489953632,14.982527664531156,9.878016441262266,23.27868852459016,23.065281881016986,Low
Chile,72,2025,CHL,2.0,1.552,1.344,2.86,1.405,2.012,25.851080366858387,28.578052550231835,9.202096680256263,34.274728188809334,14.098360655737702,22.264515079210035,Low
South Korea,42,2025,KOR,6.0,1.068,1.058,2.338,2.569,2.715,33.37478625835536,32.998454404945896,16.802562609202095,18.84115619199152,0.5400192864030863,20.530212342850064,Low
United Kingdom,101,2025,GBR,5.0,2.225,2.976,1.251,1.446,2.357,15.389398414425614,3.353941267387945,32.62958648806057,33.73110580747813,7.444551591128247,19.111489571047983,Low
Japan,9,2025,JPN,6.0,2.053,2.282,3.084,1.636,1.737,18.063112078346027,14.08037094281298,5.940594059405939,31.21188013789446,19.402121504339433,17.93875280133642,Low
Netherlands,91,2025,NLD,5.0,2.099,2.814,2.017,1.873,2.148,17.348049121716148,5.857805255023183,21.476412347117066,28.069477592150623,11.475409836065568,17.419943023749166,Low
Canada,66,2025,CAN,5.0,2.714,3.193,1.568,1.877,1.66,7.7879682885123565,0.0,28.013977868375072,28.016441262264657,20.88717454194792,17.33051080664562,Low
Latvia,84,2025,LVA,1.0,2.061,1.127,2.478,3.526,2.171,17.93875330327996,31.93199381761978,14.764123471170642,6.152214266772745,11.03182256509161,15.664119459069955,Low
France,76,2025,FRA,5.0,2.348,2.76,2.483,2.498,1.985,13.477382247784861,6.6924265842349335,14.691322073383805,19.782551047467518,14.619093539054962,14.191802881562712,Low
Ireland,81,2025,IRL,5.0,2.37,2.697,3.022,2.485,2.051,13.135395616353177,7.6661514683153005,6.843331391962729,19.95491911959693,13.346190935390542,12.46265991372563,Low
Australia,67,2025,AUS,5.0,2.045,3.033,2.494,3.324,2.15,18.187470853412094,2.472952086553325,14.531158998252764,8.830548926014325,11.436837029893923,11.877519517168224,Low
Sweden,5,2025,SWE,5.0,2.33,2.782,3.008,2.858,1.959,13.757189491683505,6.352395672333848,7.04717530576587,15.009281357730048,15.120540019286398,11.827556060327417,Low
Switzerland,6,2025,CHE,5.0,3.215,2.974,3.235,3.581,1.363,0.0,3.384853168469858,3.7419918462434496,5.422964730840629,26.615236258437797,7.663766542374854,Low
Germany,77,2025,DEU,5.0,2.558,2.974,3.492,3.99,2.743,10.212964402300639,3.384853168469858,0.0,0.0,0.0,3.0609690758456383,Low
